,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
0,A Single Girl,1995,Benoît Jacquot,"['Virginie Ledoyen', 'Benoît Magimel', 'Dominique Valadié', 'Michel Bompoil', 'Véra Briole', 'Toni Cecchinato', 'Virginie Emane', 'Jean-Claude Frissung', 'Hervé Gamelin', 'Guillemette Grobon', 'Catherine Guittoneau', 'Thang-Long', 'Aladin Reibel', 'Jean-Chrétien Sibertin-Blanc', 'Giulia Urso', 'Matéo Blanc']",,3.4,https://letterboxd.com//film/a-single-girl/
1,The Young and the Damned,1950,Luis Buñuel,"['Alfonso Mejía', 'Estela Inda', 'Efraín Arauz', 'Miguel Inclán', 'Roberto Cobo', 'Javier Amézcua', 'Alma Delia Fuentes', 'Mário Ramírez', 'Jorge Pérez', 'Sergio Virel', 'Jesús García', 'Francisco Jambrina', 'Roberto Navarrete', 'José Loza', 'Antulio Jimenez Pons', 'Lupe Carriles', 'Charles Rooner', 'Salvador Quiroz', 'Ernesto Alonso', 'Inés Murillo', 'Enedina Díaz de León', 'Victorio Blanco']",,4.22,https://letterboxd.com//film/the-young-and-the-damned/
2,Brazil,1985,Terry Gilliam,"['Jonathan Pryce', 'Kim Greist', 'Robert De Niro', 'Ian Holm', 'Bob Hoskins', 'Katherine Helmond', 'Michael Palin', 'Ian Richardson', 'Peter Vaughan', 'Jim Broadbent', 'Terry Gilliam', ""Derrick O'Connor"", 'Roger Ashton-Griffiths', 'John Pierce Jones', 'Barbara Hicks', 'Charles McKeown', 'Kathryn Pogson', 'Bryan Pringle', 'Nigel Planer', 'Terence Bayler', 'Gorden Kaye', 'Jack Purvis', 'Howard Lew Lewis', 'John Flanagan', 'Sheila Reid', 'Ray Cooper', 'Brian Miller', 'Simon Jones', 'Derek Deadman', 'Bill Wallis', 'Myrtle Devenish', 'Ann Way', 'Don Henderson', 'Oscar Quitak', 'Harold Innocent', 'John Grillo', 'Ralph Nossek', 'David Gant', 'James Coyle', 'Patrick Connor', 'Elizabeth Spender']",,4.03,https://letterboxd.com//film/brazil/
3,To Live and Die in L.A.,1985,William Friedkin,"['William Petersen', 'Willem Dafoe', 'John Pankow', 'Debra Feuer', 'John Turturro', 'Dean Stockwell', 'Darlanne Fluegel', 'Michael Greene', 'Steve James', 'Robert Downey Sr.', 'Christopher Allport', 'Valentin de Vargas', 'Jack Hoar', 'Dwier Brown', 'Michael Chong', 'Jacqueline Giroux', 'Michael Zand', 'Bobby Bass', 'Dar Robinson', 'Anne Betancourt', 'Katherine M. Louie', 'Edward Harrell', 'Gilbert Espinoza', 'John Petievich', 'Zarko Petievich', 'Rick Dalton', 'Richard L. Lane', 'Jack Cota', 'Shirley J. White', 'Gerald H. Brownlee', 'David M. DuFriend', 'Rubén García', 'Joe Duran', 'Buford McClerkins', 'Gregg Dandridge', 'Donnie Williams', 'Earnest Hart Jr.', 'Thomas F. Duffy', 'Gerald Petievich', 'Mark Gash', 'Pat McGroarty', 'Brian Bradley', 'Jane Leeves', 'Gary Cole']",,3.89,https://letterboxd.com//film/to-live-and-die-in-la/
4,The Fire Within,1963,Louis Malle,"['Maurice Ronet', 'Léna Skerla', 'Yvonne Clech', 'Hubert Deschamps', 'Jean-Paul Moulinot', 'Mona Dol', 'Pierre Moncorbier', 'René Dupuy', 'Bernard Tiphaine', 'Bernard Noël', 'Ursula Kubler', 'Jeanne Moreau', 'Alain Mottet', 'François Gragnon', 'Romain Bouteille', 'Jacques Sereys', 'Alexandra Stewart', 'Claude Deschamps', 'Tony Taffin', 'Henri Serre', 'Madeleine Declercq', 'Claude Deleusse', 'Darling Légitimus', 'Michèle Mahaut', 'Vera Valdez', 'Micha Bayard']",,4.1,https://letterboxd.com//film/the-fire-within/
5,Rio Bravo,1959,Howard Hawks,"['John Wayne', 'Dean Martin', 'Ricky Nelson', 'Angie Dickinson', 'Walter Brennan', 'Ward Bond', 'John Russell', 'Pedro Gonzalez Gonzalez', 'Estelita Rodriguez', 'Claude Akins', 'Malcolm Atterbury', 'Harry Carey, Jr.', 'Walter Barnes', 'George Bell', 'Noble ""Kid"" Chissell', 'Cecil Combs', 'Myron Healey', 'Cactus Mack', 'Mathew McCue', 'Frank Mills', 'Kansas Moehring', 'Jack Perry', 'Danny Sands', 'Sailor Vincent', 'Bob Whitney', 'Nesdon Booth', 'Robert Donner', 'Ted White', 'George Bruggeman', 'Buck Bucko', 'Yakima Canutt', 'Chuck Roberson', 'Albert Cavens', 'Tom Monroe', 'Fred Graham', 'Eugene Iglesias', 'Joe Gray', 'Dean Smith', 'Riley Hill', 'Richard LaMarr', 'Gordon Mitchell', 'Bob Reeves', 'Bing Russell', 'Bob Steele', 'Bud Cokes', 'David O. McCall']",,4.07,https://letterboxd.com//film/rio-bravo/
6,High Noon,1952,Fred Zinnemann,"['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell', 'Lloyd Bridges', 'Katy Jurado', 'Otto Kruger', 'Lon Chaney Jr.', 'Harry Morgan', 'Ian MacDonald', 'Eve McVeagh', 'Morgan Farley', 'Harry Shannon', 'Lee Van Cleef', 'Robert J. Wilke', 'Sheb Wooley', 'Jack Elam', 'John Doucette', 'Ted Stanhope', 'Lee Aaker', 'Guy Beach', 'Larry J. Blake', 'John Breen', 'Tex Driscoll', 'Herschel Graham', 'Paul Kruger', ""William H. O'Brien"", 'Roy Bucko', 'Russell Custer', 'Nora Bush', 'Ann Kunde', 'Ben Corbett', 'Rudy Germane', 'Chuck Hayward', 'Michael Jeffers', 'Kansas Moehring', 'Jack Montgomery', 'Buddy Roosevelt', 'Allen D. Sewall', 'Howland Chamberlain', 'Virginia Christine', 'Cliff Clark', 'Paul Dubov', 'Dick Elliott', 'Virginia Farmer', 'Tim Graham', 'Tom Greenway', 'Harry Harvey', 'Nolan Leary', 'Tom London', 'Merrill McCormick', 'William Newell', 'James Millican', 'William Phillips', 'Lucien Prival', 'Ralph Reed', 'Charles Soldani', 'Slim Talbot']",,3.87,https://letterboxd.com//film/high-noon/
7,Altered States,1980,Ken Russell,"['William Hurt', 'Blair Brown', 'Bob Balaban', 'Charles Haid', 'Thaao Penghlis', 'Miguel Godreau', 'Dori Brenner', 'Peter Brandon', 'Charles White-Eagle', 'Drew Barrymore', 'Megan Jeffers', 'Jack Murdock', 'Francis X. McCarthy', 'Deborah Baltzell', 'Evan Richards', 'Paul Larsson', 'John Larroquette', 'George Gaynes', 'Hap Lawrence', 'John Walter Davis']",,3.59,https://letterboxd.com//film/altered-states/
8,Earth,1930,Oleksandr Dovzhenko,"['Stepan Shkurat', 'Semen Svashenko', 'Yuliya Solntseva', 'Yelena Maksimova', 'Mykola Nademskyi', 'Ivan Franko', 'Petro Masokha', 'Vladimir Mikhaylov', 'Pavlo Petryk', 'P. Umanets', 'Ye. Bondina', 'Luka Lyashenko', 'Vasyl Krasenko', 'M. Matsyutsia']",,3.7,https://letterboxd.com//film/earth-1930/
9,The Life of Oharu,1952,Kenji Mizoguchi,"['Kinuyo Tanaka', 'Tsukie Matsuura', 'Ichirō Sugai', 'Toshirō Mifune', 'Toshiaki Konoe', 'Kiyoko Tsuji', 'Hisako Yamane', 'Jūkichi Uno', 'Eitarō Shindō', 'Akira Ôizumi', 'Kyôko Kusajima', 'Masao Shimizu', 'Daisuke Katō', 'Toranosuke Ogawa', 'Hiroshi Oizumi']",,4.13,https://letterboxd.com//film/the-life-of-oharu/
10,La Pointe-Courte,1955,Agnès Varda,"['Philippe Noiret', 'Silvia Monfort', 'Marcel Jouet', 'Albert Lubrano', 'Anna Banegas', 'André Lubrano', 'Rossette Lubrano']",,3.65,https://letterboxd.com//film/la-pointe-courte/
11,A Summer's Tale,1996,Éric Rohmer,"['Melvil Poupaud', 'Amanda Langlet', 'Gwenaëlle Simon', 'Aurelia Nolin', 'Aimé Lefèvre', 'Alain Guellaff', 'Evelyne Lahana', 'Yves Guérin', 'Franck Cabot']",,4.02,https://letterboxd.com//film/a-summers-tale/
12,After Yang,2021,Kogonada,"['Colin Farrell', 'Jodie Turner-Smith', 'Malea Emma Tjandrawidjaja', 'Justin H. Min', 'Ritchie Coster', 'Sarita Choudhury', 'Clifton Collins Jr.', 'Haley Lu Richardson', 'Orlagh Cassidy', 'Ava DeMary', 'Lee Wong', 'Brett Dier', 'Eve Lindley', 'Adeline Kerns', 'Ansley Kerns', 'Nana Mensah', 'An Li Bogan', 'Deborah Hedwall', 'Katie Honaker', 'Alberto Del Saz', 'Jesse Kovarsky', 'Marcella Lewis', 'Maria Majoli', 'Toni Melaas', 'Mina Nishimura', 'Lily Ockwell', 'JC Shuster', 'Megan Williams', 'Taylor Ortega', 'Jae Kim']",,3.83,https://letterboxd.com//film/after-yang/
13,Shoah,1985,Claude Lanzmann,"['Claude Lanzmann', 'Simon Srebnik', 'Michael Podchlebnik', 'Motke Zaidl', 'Jan Karski', 'Paula Biren', 'Abraham Bomba', 'Inge Deutschkron', 'Ruth Elias', 'Richard Glazar', 'Filip Müller', 'Rudolf Vrba', 'Raul Hilberg', 'Hanna Zaïdl', 'Jan Piwonski', 'Itzhak Dugin', 'Helena Pietyra', 'Pan Filipowicz', 'Pan Falborski', 'Czeslaw Borowi', 'Henrik Gawkowski', 'Franz Suchomel', 'Joseph Oberhauser', 'Alfred Spiess', 'Franz Schalling', 'Martha Michelsohn', 'Moshe Mordo', 'Armando Aaron', 'Walter Stier', 'Franz Grassler', 'Gertude Schneider', 'Itzhak Zuckermann', 'Simha Rotem', 'Francine Kaufmann', 'Barbara Janicka', 'Mrs. Apfelbaum', 'Charlotte Hirschhorn']",,4.52,https://letterboxd.com//film/shoah/
14,Shin Ultraman,2022,Shinji Higuchi,"['Takumi Saitoh', 'Masami Nagasawa', 'Daiki Arioka', 'Akari Hayami', 'Tetsushi Tanaka', 'Hidetoshi Nishijima', 'Kōji Yamamoto', 'Ryo Iwamatsu', 'Kyūsaku Shimada', 'Toru Masuoka', 'Keishi Nagatsuka', 'Hajime Yamazaki', 'Soko Wada', 'Yutaka Takenouchi', 'Issey Takahashi', 'Koichi Yamadera', 'Kenjiro Tsuda']",,3.64,https://letterboxd.com//film/shin-ultraman/
15,Le Trou,1960,Jacques Becker,"['Michel Constantin', 'Jean Keraudy', 'Philippe Leroy', 'Raymond Meunier', 'Marc Michel', 'Jean-Paul Coquelin', 'André Bervil', 'Eddy Rasimi', 'Philippe Dumat', 'Albert Augier', 'Jean Becker', 'Raymond Bour', 'Lucien Camiret', 'Durieu', 'Gérard Hernandez', 'Jean Luisi', 'Jean Minisini', 'Paul Pavel', 'Paul Préboist', 'Marcel Rouzé', 'Catherine Spaak', 'Dominique Zardi']",,4.31,https://letterboxd.com//film/le-trou/
16,The Human Condition III: A Soldier's Prayer,1961,Masaki Kobayashi,"['Tatsuya Nakadai', 'Michiyo Aratama', 'Tamao Nakamura', 'Yūsuke Kawazu', 'Chishū Ryū', 'Taketoshi Naitô', 'Kyōko Kishida', 'Reiko Hitomi', 'Keijirô Morozumi', 'Koji Kiyomura', 'Nobuo Kaneko', 'Fujio Suga', 'Tatsuya Ishiguro', 'Kazuo Kitamura', 'Toshio Takahara', 'Akira Yamanouchi', ""Hiroshi Nihon'yanagi"", 'Kôichi Hayashi', 'Ko Mihashi', 'Kichijirô Ueda', 'Hideko Takamine', 'Masahiko Naruse', 'Kin Sugai', 'Miyoko Nakamura', 'Yoshie Minami', 'Fumie Kitahara', ""Gen'ya Nagai"", 'Hideo Fukuhara', 'Kanji Ōsugi', 'Akira Kimura', 'Yoshiko Watanabe', 'Saburo Boya', 'Takashi Sue', 'Tetsuo Mizoi', 'Daijirô Minami', 'Hideko Aki', 'Ed Keane', 'Henrî Ban', 'Torauemon Utazawa']",,4.53,https://letterboxd.com//film/the-human-condition-iii-a-soldiers-prayer/
17,The Human Condition I: No Greater Love,1959,Masaki Kobayashi,"['Tatsuya Nakadai', 'Michiyo Aratama', 'Chikage Awashima', 'Ineko Arima', 'Sō Yamamura', 'Akira Ishihama', 'Kôji Nanbara', 'Seiji Miyaguchi', 'Tōru Abe', 'Masao Mishima', 'Eitarō Ozawa', 'Kōji Mitsui', 'Akitake Kôno', 'Nobuo Nakamura', 'Kyū Sazanka', 'Eijirō Tōno', 'Shinsuke Ashida', 'Keiji Sada', 'Yasushi Nagata', 'Yoshio Kosugi', 'Toshiko Kobayashi', 'Taiji Tonoyama', 'Akira Tani', 'Junji Masuda', 'Torahiko Hamada', 'Teruko Kishi', 'Takamaru Sasaki', 'Akio Isono', 'Jun Ôtomo', 'Junkichi Orimoto', 'Zenichi Inagawa', 'Shinichirō Minami', 'Hōsei Komatsu', 'Tokuko Sugiyama', 'Sue Mitobe', 'Nobuo Takagi', 'Masami Maehata', 'Keiji Tsuchida', 'Isao Suenaga', 'Jun Tanizaki', 'Hisashi Taki', 'Haruko Chichibu', 'Tsuneko Sasaki', 'Kanji Ōsugi', 'Ryuji Kita']",,4.42,https://letterboxd.com//film/the-human-condition-i-no-greater-love/
18,Inland Empire,2006,David Lynch,"['Laura Dern', 'Jeremy Irons', 'Justin Theroux', 'Harry Dean Stanton', 'Karolina Gruszka', 'Peter J. Lucas', 'Krzysztof Majchrzak', 'Jan Hencz', 'Grace Zabriskie', 'William H. Macy', 'Ian Abercrombie', 'Amanda Foreman', 'Cameron Daddo', 'Neil Dickson', 'Diane Ladd', 'Stanislaw Kazimierz Cybulski', 'Henryka Cybulski', 'Julia Ormond', 'Jordan Ladd', 'Terryn Westbrook', 'Kristen Kerr', 'Mary Steenburgen', 'Masuimi Max', 'Robert Charles Hunter', 'Terry Crews', 'Nastassja Kinski', 'Laura Harring', 'Scott Coffey', 'Naomi Watts', 'Emily Stofle', 'Jerry Stahl', 'John T. Churchill', 'Chamonix Bosch', 'Bellina Logan', 'Sara Glaser', 'Edward St. George', 'Jeremy Alter', 'Marsha Lewis', 'Austin Jack Lynch', 'Jason Weinberg', 'Heidi Bivens', 'Scott Andrew Ressler', 'Kat Turner', 'Stanley Kamel', 'Marek Zydowicz', 'Leon Niemczyk', 'Tracy Ashton', 'Dominique Vandenberg', 'Nick 13', 'Keith Kjarval', 'Kris Kane', 'David Lynch', 'Wendy Rhodes']",,3.79,https://letterboxd.com//film/inland-empire/
19,A Borrowed Life,1994,Wu Nien-Jen,"['Tsai Chen-Nan', 'Jun Fu', 'Ing-How Tan', 'Akio Chen', 'Yung-Feng Lee']",,3.99,https://letterboxd.com//film/a-borrowed-life/
20,The Purple Rose of Cairo,1985,Woody Allen,"['Mia Farrow', 'Jeff Daniels', 'Danny Aiello', 'Irving Metzman', 'Stephanie Farrow', 'Edward Herrmann', 'John Wood', 'Deborah Rush', 'Van Johnson', 'Zoe Caldwell', 'Milo O’Shea', 'Dianne Wiest', 'Glenne Headly', 'Paul Herman', 'Rick Petrucelli', 'Peter Castellotti', 'John Rothman', 'David Kieserman', 'Elaine Grollman', 'Victoria Zussin', 'Mark Hammond', 'Wade Barnes', 'Joseph G. Graham', 'Don Quigley', 'Maurice Brenner', 'Milton Seaman', 'Mimi Weddell', 'Tom Degidon', 'Mary Hedahl', 'Eugene J. Anthony', 'Ebb Miller', 'Karen Akers', 'Annie-Joe Edwards', 'Peter McRobbie', 'Camille Saviola', 'Juliana Donald', 'Margaret Thompson', 'George Hamlin', 'Helen Hanft', 'Leo Postrel', 'Helen Miller', 'George Martin', 'Crystal Field', 'Ken Chapin', 'Robert Trebor', 'Benjamin Rayson', 'Jean Shevlin', 'Albert S. Bennett', 'Martha Sherrill', 'Gretchen MacLane', 'Edwin Bordo', 'Andrew Murphy', 'Tom Kubiak', 'Alexander Cohen', 'Raymond Serra', 'George J. Manos', 'David Tice', 'James Lynch', 'Sydney A. Blake', 'Michael Tucker', 'Peter Von Berg', 'David Weber', 'Willie Tjan', 'Lela Ivey', 'Drinda Lalumia', 'Loretta Tupper']",,3.87,https://letterboxd.com//film/the-purple-rose-of-cairo/
21,I Am Twenty,1964,Marlen Khutsiyev,"['Valentin Popov', 'Nikolai Gubenko', 'Stanislav Lyubshin', 'Marianna Vertinskaya', 'Zinaida Zinovyeva', 'Svetlana Starikova', 'Lev Prygunov', 'Tatyana Bogdanova', 'Lyudmila Selyanskaya', 'Aleksandr Blinov', 'Lev Zolotukhin', 'Pyotr Shcherbakov', 'Gennady Nekrasov', 'Nikolai Zakharchenko', 'Andrei Tarkovsky', 'Dmitri Fedorovskiy', 'Andrei Konchalovsky', 'Svetlana Svetlichnaya', 'Olga Gobzeva', 'Natalya Ryazantseva', 'Andrei Ladynin', 'Lidiya Rasstrigina', 'Rodion Nahapetov', 'Andrei Voznesenskiy', 'Mikhail Svetlov', 'Rimma Kazakova', 'Yevgeny Yevtushenko', 'Bella Akhmadulina', 'Robert Rozhdestvenskiy', 'Bulat Okudzhava', 'Grigoriy Pozhenyan', 'Boris Slutskiy', 'Larisa Burkova', 'Tamara Sovchi', 'Yevgeniy Maksimov']",,4.01,https://letterboxd.com//film/i-am-twenty/
22,Goodbye First Love,2011,Mia Hansen-Løve,"['Lola Créton', 'Sebastian Urzendowsky', 'Valérie Bonneton', 'Magne-Håvard Brekke', 'Serge Renko', 'Özay Fecht', 'Max Ricat', 'Louis Dunbar', 'Philippe Paimblanc', 'Patrice Movermann', 'Arnaud Azoulay']",,3.56,https://letterboxd.com//film/goodbye-first-love/
23,Caché,2005,Michael Haneke,"['Daniel Auteuil', 'Juliette Binoche', 'Annie Girardot', 'Bernard Le Coq', 'Daniel Duval', 'Maurice Bénichou', 'Walid Afkir', 'Lester Makedonsky', 'Nathalie Richard', 'Denis Podalydès', 'Caroline Baehr', 'Christian Benedetti', 'Loïc Brabant', 'Aïssa Maïga', 'Jean-Jacques Brochier', 'Paule Daré', 'Louis-Do de Lencquesaing', 'Annette Faure', 'Hugo Flamigni', 'Peter Stephan Jungk', 'Diouc Koma', 'Marie Kremer', 'Nicky Marbot', 'Malik Nait Djoudi', 'Marie-Christine Orry', 'Mazarine Pingeot', 'Julie Recoing', 'Karla Suarez', 'Jean Teulé', 'Philippe Besson', 'Laurent Suire', 'Carlo Azeglio Ciampi', 'François Négret']",,3.95,https://letterboxd.com//film/cache/
24,The Thin Red Line,1998,Terrence Malick,"['Sean Penn', 'Jim Caviezel', 'Adrien Brody', 'Ben Chaplin', 'Elias Koteas', 'John Cusack', 'Woody Harrelson', 'Nick Nolte', 'John C. Reilly', 'George Clooney', 'John Travolta', 'John Dee Smith', 'Dash Mihok', 'Kirk Acevedo', 'Jared Leto', 'Mark Boone Junior', 'Matt Doran', 'Paul Gleeson', 'Don Harvey', 'Arie Verveen', 'Thomas Jane', 'Donal Logue', 'John Savage', 'Nick Stahl', 'Miranda Otto', 'Tim Blake Nelson', 'Larry Romano', 'Penelope Allen', 'Danny Hoch', 'Benjamin Green', 'Simon Billig', 'Jarrod Dean', 'Travis Fine', 'David Harrod', 'Michael McGrady', 'Stephen Spacek', 'Steven Vidler', 'Will Wallace', 'Todd Wallace', 'Simon Westaway', 'Dan Wyllie', 'Randall Craig', 'Kick Gurry', 'Randall Duk Kim', 'Darrin Klimek', 'Dane Moreton', 'Ray Samuelson', 'Justin Ward', 'Felix Williamson']",,3.97,https://letterboxd.com//film/the-thin-red-line/
25,The White Ribbon,2009,Michael Haneke,"['Christian Friedel', 'Ernst Jacobi', 'Burghart Klaußner', 'Steffi Kühnert', 'Maria Dragus', 'Susanne Lothar', 'Rainer Bock', 'Roxane Duran', 'Eddy Grahl', 'Ursina Lardi', 'Ulrich Tukur', 'Fion Mutert', 'Leonie Benesch', 'Levin Henning', 'Leonard Proxauf', 'Josef Bierbichler', 'Gabriela Maria Schmeide', 'Janina Fautz', 'Detlev Buck', 'Birgit Minichmayr', 'Carmen-Maja Antoni', 'Michael Kranz', 'Thibault Sérié', 'Johanna Busse', 'Enno Trebs', 'Theo Trebs', 'Miljan Chatelain', 'Branko Samarovski', 'Klaus Manchen', 'Sebastian Hülk', 'Kai-Peter Malina', 'Kristina Kneppek', 'Stephanie Amarell', 'Bianca Mey', 'Aaron Denkel', 'Mika Ahrens', 'Anne-Kathrin Gummich', 'Luzie Ahrens', 'Gary Bestla', 'Leonard Boes', 'Felix Boettcher', 'Sophie Czech', 'Paraschiva Dragus', 'Selina Ewald', 'Nora Gruler', 'Tim Guderjahn', 'Jonas Jennerjahn', 'Ole Joensson', 'Gerrit Langentepe', 'Lena Pankow', 'Sebastian Pauli', 'Franz Rewoldt', 'Kevin Schmolinski', 'Alexander Sedl', 'Nino Seide', 'Marvin Ray Spey', 'Malin Steffen', 'Lilli Trebs', 'Paul Wolf', 'Margarete Zimmermann', 'Christian Klischat', 'Michael Schenk', 'Hanuš Polak jr.', 'Sara Schivazappa', 'Marisa Growaldt', 'Vincent Krüger', 'Rüdiger Hauffe', 'Arndt Schwering-Sohnrey', 'Florian Köhler', 'Sebastian Łach', 'Marcin Tyrol', 'Sebastian Badurek', 'Krzysztof Zarzecki', 'Sebastian Pawlak', 'Lilli Fichtner', 'Amelie Litwin', 'Paula Kalinski', 'Matthias Linke', 'Vladik Otaryan', 'Peter Mörike', 'Hans-Matthias Glassmann', 'Nikita Vaganov', 'Mercedes Jadea Diaz', 'Simon Pawlowsky']",,4.07,https://letterboxd.com//film/the-white-ribbon/
